0.015517,-0.030768,-0.045494,0.059452,-0.072422
0.017889,-0.035418,-0.05224,0.06803,-0.082496
0.020411,-0.040345,-0.059345,0.076984,-0.092886
0.023062,-0.045505,-0.066733,0.086201,-0.10343
0.025823,-0.050853,-0.07433,0.095566,-0.11397
0.028673,-0.056343,-0.082058,0.10496,-0.12433
0.031591,-0.061933,-0.089843,0.11427,-0.13436
0.03456,-0.067581,-0.097617,0.1234,-0.14391
0.037564,-0.073253,-0.10532,0.13224,-0.15285
0.040589,-0.078917,-0.11289,0.14072,-0.16105
0.043624,-0.084548,-0.12028,0.14875,-0.16843
0.046662,-0.090125,-0.12747,0.15629,-0.1749
0.049695,-0.095634,-0.13441,0.16328,-0.1804
0.052721,-0.10106,-0.14108,0.16968,-0.18488
0.055734,-0.10639,-0.14746,0.17545,-0.18829
0.058735,-0.11163,-0.15353,0.18058,-0.19062
0.061721,-0.11676,-0.15929,0.18504,-0.19185
0.064692,-0.12178,-0.16471,0.18882,-0.19197
0.067646,-0.12669,-0.16978,0.1919,-0.19099
0.070585,-0.13148,-0.17451,0.19427,-0.1889
0.073506,-0.13615,-0.17887,0.19592,-0.18573
0.076411,-0.14069,-0.18286,0.19685,-0.18149
0.079298,-0.1451,-0.18647,0.19706,-0.1762
0.082166,-0.14938,-0.18969,0.19654,-0.16991
0.085016,-0.15352,-0.19253,0.1953,-0.16263
0.087846,-0.15752,-0.19496,0.19335,-0.15443
0.090656,-0.16137,-0.19699,0.19068,-0.14534
0.093445,-0.16508,-0.19862,0.18731,-0.13541
0.096213,-0.16864,-0.19983,0.18325,-0.12471
0.098958,-0.17204,-0.20063,0.17852,-0.11329
0.10168,-0.17528,-0.20102,0.17314,-0.10122
0.10438,-0.17836,-0.20099,0.16711,-0.088573
0.10706,-0.18128,-0.20054,0.16048,-0.075415
0.10971,-0.18403,-0.19968,0.15325,-0.061823
0.11233,-0.18661,-0.19841,0.14546,-0.047877
0.11493,-0.18902,-0.19672,0.13713,-0.033655
0.11751,-0.19125,-0.19463,0.1283,-0.01924
0.12005,-0.19331,-0.19214,0.119,-0.004715
0.12257,-0.19519,-0.18925,0.10926,0.0098373
